Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,6915956.86,412082.21,1127082.60,3549,0,6522,0,7515,0,651,0,39,0.7313880534665165,6852
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,16369451.32,416424.50,135730.00,5275,0,2443,0,10532,0,1334,0,57,0.951709637107585,13680
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1088374.65,11709.95,8150.00,253,0,183,0,715,0,89,0,13,0.8706791524189825,852
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,5404210.60,3420810.67,3488742.00,3407,0,2114,0,7468,0,1057,0,22,0.9343596119475109,10296
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,2372944.09,573321.89,1611627.00,451,0,124,0,1052,0,243,0,37,0.2636040481091425,7032
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,2335112.19,596617.57,1152373.00,731,0,306,0,1754,0,306,0,13,0.9593989233797481,2304
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,3906182.58,1698168.38,362745.05,2174,0,1916,0,4652,0,381,0,29,0.8786761639858279,4080
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,4029030.40,1271604.47,456068.22,1354,0,790,0,3096,0,369,0,28,0.90954804364223,3564
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1945762.17,435390.32,496071.74,578,0,280,0,1448,0,204,0,25,0.9271161044085553,2088
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,13067905.19,0.00,0,5084,0,3707,0,11049,0,1782,52,0.9541883814284335,16812
